 ,Area,Mean,Min,Max,Circ.,AR,Round,Solidity
1,1479.861,255,255,255,0.718,1.183,0.845,0.929
2,1.389,255,255,255,1.000,2.000,0.500,1.000
3,10.417,255,255,255,0.746,1.939,0.516,0.882
4,1138.194,255,255,255,0.708,1.136,0.880,0.920
5,2.083,255,255,255,1.000,1.464,0.683,0.857
6,2821.528,255,255,255,0.706,1.120,0.892,0.948
7,6.944,255,255,255,1.000,1.559,0.641,0.909
8,1109.028,255,255,255,0.628,1.108,0.903,0.930
9,1.389,255,255,255,0.785,2.646,0.378,0.667
10,1581.250,255,255,255,0.650,1.193,0.838,0.927
11,9.028,255,255,255,0.846,1.829,0.547,0.839
12,3.472,255,255,255,0.572,2.980,0.336,0.625
13,2286.111,255,255,255,0.637,1.162,0.860,0.943
14,4.861,255,255,255,0.800,2.211,0.452,0.778
15,2.778,255,255,255,1.000,2.000,0.500,0.800
16,1.389,255,255,255,1.000,2.000,0.500,1.000
17,1234.722,255,255,255,0.542,1.266,0.790,0.906
18,3603.472,255,255,255,0.717,1.078,0.927,0.945
19,2.778,255,255,255,1.000,2.031,0.492,0.800
20,5503.472,255,255,255,0.631,1.186,0.843,0.920
21,1.389,255,255,255,1.000,2.000,0.500,1.000
22,2772.222,255,255,255,0.640,1.487,0.673,0.945
23,5.556,255,255,255,0.914,1.435,0.697,0.842
24,1774.306,255,255,255,0.711,1.214,0.824,0.948
25,2357.639,255,255,255,0.658,1.275,0.784,0.944
26,1.389,255,255,255,0.785,2.646,0.378,0.667
27,2.083,255,255,255,1.000,1.464,0.683,0.857
28,2552.778,255,255,255,0.637,1.254,0.797,0.938
29,1154.861,255,255,255,0.524,1.272,0.786,0.892
30,961.111,255,255,255,0.583,1.766,0.566,0.908
31,1350.000,255,255,255,0.759,1.188,0.841,0.941
32,3842.361,255,255,255,0.567,2.314,0.432,0.897
33,2.083,255,255,255,0.809,3.000,0.333,1.000
34,5.556,255,255,255,0.914,1.308,0.764,0.800
35,2037.500,255,255,255,0.631,1.328,0.753,0.922
36,2155.556,255,255,255,0.639,1.092,0.916,0.932
37,690.972,255,255,255,0.762,1.028,0.973,0.927
38,1125.000,255,255,255,0.588,1.120,0.893,0.920
39,3223.611,255,255,255,0.709,1.366,0.732,0.949
40,2.083,255,255,255,1.000,1.464,0.683,0.857
41,6.250,255,255,255,1.000,1.536,0.651,0.857
42,1550.000,255,255,255,0.668,1.080,0.926,0.931
43,614.583,255,255,255,0.623,1.017,0.983,0.904
44,2088.194,255,255,255,0.723,1.112,0.900,0.957
45,1297.222,255,255,255,0.712,1.190,0.840,0.924
46,1202.083,255,255,255,0.665,1.321,0.757,0.934
47,1469.444,255,255,255,0.641,1.811,0.552,0.922
48,1179.167,255,255,255,0.650,1.526,0.655,0.890
49,1606.944,255,255,255,0.619,1.452,0.689,0.906
50,2277.778,255,255,255,0.629,1.122,0.891,0.937
51,1267.361,255,255,255,0.706,1.515,0.660,0.920
52,13.889,255,255,255,0.657,1.852,0.540,0.727
53,906.944,255,255,255,0.596,1.356,0.737,0.931
54,6925.694,255,255,255,0.608,1.312,0.762,0.942
55,2018.056,255,255,255,0.646,1.272,0.786,0.936
56,2077.778,255,255,255,0.665,1.101,0.908,0.924
57,2279.167,255,255,255,0.602,1.116,0.896,0.934
58,1.389,255,255,255,1.000,2.000,0.500,1.000
59,1.389,255,255,255,0.785,2.646,0.378,0.667
60,3009.028,255,255,255,0.460,1.269,0.788,0.880
61,2333.333,255,255,255,0.664,1.261,0.793,0.944
62,2168.056,255,255,255,0.561,1.563,0.640,0.919
63,2789.583,255,255,255,0.513,1.296,0.772,0.934
64,2248.611,255,255,255,0.643,1.094,0.914,0.936
65,1189.583,255,255,255,0.680,1.343,0.745,0.906
66,720.139,255,255,255,0.670,1.378,0.726,0.915
67,2339.583,255,255,255,0.703,1.266,0.790,0.951
68,1922.222,255,255,255,0.616,1.099,0.910,0.938
69,2.778,255,255,255,0.857,2.031,0.492,0.800
70,161.111,255,255,255,0.742,1.244,0.804,0.864
71,2438.194,255,255,255,0.645,1.497,0.668,0.930
72,4867.361,255,255,255,0.573,1.225,0.816,0.922
73,670.139,255,255,255,0.669,1.312,0.762,0.913
74,1.389,255,255,255,1.000,2.000,0.500,1.000
75,2215.278,255,255,255,0.655,1.300,0.769,0.920
76,1365.972,255,255,255,0.677,1.292,0.774,0.941
77,1139.583,255,255,255,0.614,1.588,0.630,0.907
78,1.389,255,255,255,1.000,2.000,0.500,1.000
79,2466.667,255,255,255,0.705,1.264,0.791,0.945
80,2306.250,255,255,255,0.691,1.228,0.815,0.949
81,2643.056,255,255,255,0.679,1.157,0.864,0.943
82,1.389,255,255,255,1.000,2.000,0.500,1.000
83,1.389,255,255,255,1.000,2.000,0.500,1.000
84,2181.250,255,255,255,0.638,1.045,0.957,0.943
85,2365.972,255,255,255,0.711,1.088,0.919,0.948
86,2975.694,255,255,255,0.585,1.365,0.733,0.940
87,1631.250,255,255,255,0.552,1.295,0.772,0.909
88,2162.500,255,255,255,0.658,1.119,0.894,0.942
89,1334.028,255,255,255,0.597,1.185,0.844,0.919
90,1029.167,255,255,255,0.677,1.553,0.644,0.958
91,2001.389,255,255,255,0.602,1.103,0.907,0.931
92,1636.111,255,255,255,0.582,1.242,0.805,0.924
93,2177.778,255,255,255,0.678,1.093,0.915,0.933
94,868.750,255,255,255,0.696,1.543,0.648,0.935
95,1960.417,255,255,255,0.607,1.118,0.895,0.926
96,1534.722,255,255,255,0.582,1.918,0.521,0.885
97,1.389,255,255,255,1.000,2.000,0.500,1.000
98,1948.611,255,255,255,0.645,1.229,0.814,0.922
99,1659.722,255,255,255,0.600,1.413,0.708,0.929
100,1.389,255,255,255,1.000,2.000,0.500,1.000
101,2642.361,255,255,255,0.635,1.152,0.868,0.941
102,897.917,255,255,255,0.667,1.436,0.697,0.937
103,2338.889,255,255,255,0.633,1.109,0.902,0.939
104,1.389,255,255,255,0.785,2.646,0.378,0.667
105,2.778,255,255,255,0.857,1.468,0.681,0.800
106,2940.972,255,255,255,0.645,1.361,0.735,0.940
107,1.389,255,255,255,0.785,2.646,0.378,0.667
108,2688.889,255,255,255,0.578,1.212,0.825,0.938
109,1.389,255,255,255,0.785,2.646,0.378,0.667
110,1.389,255,255,255,1.000,2.000,0.500,1.000
111,1679.167,255,255,255,0.585,1.145,0.873,0.937
112,3.472,255,255,255,1.000,1.553,0.644,0.909
113,3103.472,255,255,255,0.719,1.199,0.834,0.957
114,3.472,255,255,255,0.873,1.653,0.605,0.833
115,8.333,255,255,255,0.754,1.666,0.600,0.727
116,2352.083,255,255,255,0.629,1.209,0.827,0.948
117,2704.861,255,255,255,0.583,1.232,0.811,0.913
118,929.861,255,255,255,0.586,1.044,0.957,0.922
119,4.167,255,255,255,1.000,1.809,0.553,0.800
120,2160.417,255,255,255,0.679,1.316,0.760,0.920
121,788.889,255,255,255,0.708,1.279,0.782,0.934
122,822.222,255,255,255,0.627,1.226,0.816,0.908
123,4600.000,255,255,255,0.774,1.086,0.921,0.966
124,2308.333,255,255,255,0.617,1.106,0.904,0.940
125,1986.806,255,255,255,0.660,1.216,0.822,0.947
126,2116.667,255,255,255,0.707,1.110,0.901,0.947
127,1072.222,255,255,255,0.561,1.314,0.761,0.902
128,2856.250,255,255,255,0.730,1.335,0.749,0.954
129,1369.444,255,255,255,0.596,1.182,0.846,0.933
130,1824.306,255,255,255,0.663,1.115,0.897,0.927
131,1147.917,255,255,255,0.664,1.285,0.778,0.928
132,2298.611,255,255,255,0.684,1.114,0.898,0.952
133,2556.250,255,255,255,0.562,1.696,0.590,0.903
134,1433.333,255,255,255,0.601,1.015,0.985,0.919
135,1449.306,255,255,255,0.636,1.108,0.903,0.932
136,1253.472,255,255,255,0.675,1.492,0.670,0.959
137,3475.694,255,255,255,0.707,1.187,0.843,0.957
138,1235.417,255,255,255,0.686,1.378,0.726,0.920
139,2015.972,255,255,255,0.614,1.155,0.866,0.935
140,3112.500,255,255,255,0.681,1.095,0.914,0.953
141,1673.611,255,255,255,0.656,1.421,0.704,0.931
142,2.778,255,255,255,0.857,2.000,0.500,0.800
143,1393.056,255,255,255,0.708,1.245,0.803,0.942
144,2332.639,255,255,255,0.631,1.174,0.852,0.936
145,1255.556,255,255,255,0.561,1.045,0.957,0.924
146,2845.833,255,255,255,0.576,1.073,0.932,0.944
147,776.389,255,255,255,0.666,1.089,0.918,0.922
148,2440.278,255,255,255,0.615,1.455,0.687,0.922
149,1606.250,255,255,255,0.555,1.120,0.893,0.925
150,1.389,255,255,255,1.000,2.000,0.500,1.000
151,1.389,255,255,255,1.000,2.000,0.500,1.000
152,2595.139,255,255,255,0.730,1.104,0.906,0.945
153,2.083,255,255,255,1.000,1.464,0.683,0.857
154,2785.417,255,255,255,0.658,1.091,0.916,0.943
155,1.389,255,255,255,1.000,2.000,0.500,1.000
156,2262.500,255,255,255,0.596,1.142,0.876,0.937
157,1.389,255,255,255,1.000,2.000,0.500,1.000
158,1159.722,255,255,255,0.612,1.080,0.926,0.919
159,1.389,255,255,255,1.000,2.000,0.500,1.000
160,7998.611,255,255,255,0.559,1.123,0.890,0.916
161,2281.250,255,255,255,0.688,1.365,0.733,0.935
162,1609.028,255,255,255,0.710,1.120,0.893,0.933
163,868.056,255,255,255,0.514,1.118,0.894,0.885
164,1561.111,255,255,255,0.684,1.243,0.805,0.933
165,1909.028,255,255,255,0.590,1.145,0.873,0.929
166,463.889,255,255,255,0.498,1.094,0.914,0.875
167,1392.361,255,255,255,0.630,1.108,0.903,0.916
168,1.389,255,255,255,0.785,2.646,0.378,0.667
169,1101.389,255,255,255,0.596,1.220,0.820,0.897
170,890.278,255,255,255,0.743,1.103,0.907,0.916
171,412.500,255,255,255,0.645,1.379,0.725,0.883
172,3602.083,255,255,255,0.633,1.208,0.828,0.939
173,2350.694,255,255,255,0.642,1.043,0.959,0.936
174,1789.583,255,255,255,0.592,1.302,0.768,0.936
175,1094.444,255,255,255,0.776,1.147,0.872,0.930
176,2650.000,255,255,255,0.603,1.161,0.862,0.942
177,967.361,255,255,255,0.631,1.201,0.832,0.913
178,1.389,255,255,255,1.000,2.000,0.500,1.000
179,2257.639,255,255,255,0.667,1.067,0.937,0.934
180,1954.861,255,255,255,0.667,1.286,0.777,0.932
181,2144.444,255,255,255,0.657,1.120,0.893,0.927
182,2815.278,255,255,255,0.658,1.044,0.958,0.943
183,1251.389,255,255,255,0.677,1.262,0.793,0.924
184,1.389,255,255,255,1.000,2.000,0.500,1.000
185,1456.250,255,255,255,0.661,1.289,0.776,0.938
186,3217.361,255,255,255,0.690,1.099,0.910,0.946
187,1593.056,255,255,255,0.689,1.310,0.763,0.933
188,2295.833,255,255,255,0.544,1.721,0.581,0.891
189,866.667,255,255,255,0.594,1.140,0.877,0.899
190,1406.944,255,255,255,0.685,1.680,0.595,0.917
191,2.083,255,255,255,0.809,3.000,0.333,1.000
192,2440.278,255,255,255,0.568,1.121,0.892,0.933
193,2440.972,255,255,255,0.601,1.056,0.947,0.940
194,1.389,255,255,255,1.000,2.000,0.500,1.000
195,4230.556,255,255,255,0.577,1.206,0.829,0.944
196,2.083,255,255,255,0.754,2.702,0.370,0.667
197,2433.333,255,255,255,0.680,1.105,0.905,0.950
198,2.083,255,255,255,0.524,1.567,0.638,0.600
199,2722.917,255,255,255,0.577,1.653,0.605,0.904
200,829.861,255,255,255,0.622,1.559,0.641,0.930
201,2277.778,255,255,255,0.570,1.249,0.800,0.932
